1	intra	35671.R	35672.R	1	1	1	58962766	59170351	35671.O	35672.O	4	4	-1	1	102860231	103036087	94482443	94658691	50000	157585	1
2	inter	35672.R	35673.R	1	1	1	67512260	67681910	35672.O	35673.O	4	6	1	-1	102860231	103036087	67392073	70392073	50000	119650	1
3	inter	35673.R	35674.R	1	1	1	68267098	68639539	35673.O	35674.O	6	3	-1	-1	66414729	66879576	159549772	147089210	50000	322441	-4
4	inter	35674.R	35675.R	1	1	1	89688135	90000168	35674.O	35675.O	3	5	-1	1	142081396	142209959	104933146	105874519	50000	262033	1
5	inter	35675.R	35676.R	1	1	1	93694300	93955157	35675.O	35676.O	5	3	1	-1	108612035	108791923	122288627	122403311	50000	210857	1
6	inter	35676.R	35677.R	1	1	1	120646915	120804434	35676.O	35677.O	3	1	-1	1	97833056	97777795	133399518	133390341	50000	107519	-5
7	inter	35677.R	35678.R	1	1	1	120837322	121199401	35677.O	35678.O	1	13	1	1	133416924	133680393	118132625	117947319	50000	312079	-4
8	inter	35678.R	35679.R	1	1	1	121300677	143931371	35678.O	35679.O	13	1	1	-1	118033771	118234614	133399518	133390341	50000	22580694	-4
9	inter	35679.R	35680.R	1	1	1	144045755	144726687	35679.O	35680.O	1	3	-1	-1	133522558	133309296	97833056	97777795	50000	630932	-5
10	inter	35680.R	35681.R	1	1	1	158104741	158566903	35680.O	35681.O	3	1	-1	-1	86717002	86849634	176329748	176480190	50000	412162	1
11	intra	35681.R	35682.R	1	1	1	205872697	206125775	35681.O	35682.O	1	1	-1	-1	133416924	133680393	133522558	133309296	50000	203078	-4
12	intra	35682.R	35683.R	1	1	1	207484964	207625939	35682.O	35683.O	1	1	-1	-1	132213700	132384681	196997284	197195432	50000	90975	1
13	inter	35683.R	35684.R	1	1	1	227594727	227969753	35683.O	35684.O	1	11	-1	-1	178818214	181818214	59219457	59493107	50000	325026	1
14	inter	35684.R	35685.R	1	1	1	228653212	229454294	35684.O	35685.O	11	8	-1	1	57937430	58778366	126010687	126372711	50000	751082	1
15	inter	35685.R	35686.R	1	1	1	235274774	235380060	35685.O	35686.O	8	13	1	-1	129445221	129609285	14241783	14368369	50000	55286	1
16	inter	35686.R	35687.R	1	1	1	240034659	240303393	35686.O	35687.O	13	1	-1	1	9752042	9918164	176329748	176480190	50000	218734	1
17	inter	35688.R	35689.R	10	1	1	5815622	5965452	35688.O	35689.O	13	2	-1	1	571006	3571006	59359	3059359	50000	99830	1
18	intra	35689.R	35690.R	10	1	1	27107072	27448972	35689.O	35690.O	2	2	1	-1	22862246	22973556	23003933	23216835	50000	291900	1
19	inter	35690.R	35691.R	10	1	1	27481240	27797786	35690.O	35691.O	2	18	-1	1	22862246	22973556	6480738	6778481	50000	266546	1
20	intra	35691.R	35692.R	10	1	1	28672506	29000711	35691.O	35692.O	18	18	1	1	7702016	8035898	3389197	3541582	50000	278205	1
21	inter	35692.R	35693.R	10	1	1	32628701	33162469	35692.O	35693.O	18	8	1	-1	6480738	6778481	131315430	131738871	50000	483768	1
22	inter	35693.R	35694.R	10	1	1	35102269	35334099	35693.O	35694.O	8	18	-1	-1	129445221	129609285	3389197	3541582	50000	181830	1
23	intra	35694.R	35695.R	10	1	1	35471818	35726708	35694.O	35695.O	18	18	-1	-1	291148	3291148	9380644	9631966	50000	204890	1
24	inter	35695.R	35696.R	10	1	1	37044546	37241655	35695.O	35696.O	18	7	-1	1	7702016	8035898	109176497	102083245	50000	147109	-4
25	inter	35696.R	35697.R	10	1	1	37352201	43327986	35696.O	35697.O	7	6	1	-1	102193633	108169418	118319681	118574276	50000	5925785	1
26	inter	35697.R	35698.R	10	1	1	46168167	46538677	35697.O	35698.O	6	14	-1	1	116102342	116220329	32849970	33004557	50000	320510	1
27	inter	35698.R	35699.R	10	1	1	51677392	51967603	35698.O	35699.O	14	19	1	-1	35064468	35089814	32428566	32589286	50000	240211	-3
28	inter	35699.R	35700.R	10	1	1	54490082	55416623	35699.O	35700.O	19	10	-1	-1	30212283	30341964	74260018	74465342	50000	876541	1
29	inter	35700.R	35701.R	10	1	1	74812972	74920164	35700.O	35701.O	10	14	-1	1	58648594	58829416	21017810	21163857	50000	57192	1
30	intra	35701.R	35702.R	10	1	1	81205099	82069368	35701.O	35702.O	14	14	1	-1	26575929	27273015	41892239	44892239	50000	814269	1
31	inter	35702.R	35703.R	10	1	1	88926316	89284113	35702.O	35703.O	14	19	-1	1	35064468	35089814	32428566	32589286	50000	307797	-3
32	inter	35703.R	35704.R	10	1	1	121169507	121274592	35703.O	35704.O	19	7	1	1	61122120	61342430	135394817	135545649	50000	55085	1
33	intra	35705.R	35706.R	11	1	1	3048752	3681069	35705.O	35706.O	7	7	1	1	150779429	151030976	106277192	109277192	50000	582317	1
34	intra	35706.R	35707.R	11	1	1	17310027	17453485	35706.O	35707.O	7	7	1	1	123639970	123803234	53289588	53400543	50000	93458	1
35	inter	35707.R	35708.R	11	1	1	25201145	26346397	35707.O	35708.O	7	2	1	-1	62588143	63099274	110782617	112128690	50000	1095252	1
36	inter	35708.R	35709.R	11	1	1	48608712	49300334	35708.O	35709.O	2	7	-1	1	89739263	89503136	91866292	94308785	50000	641622	-3
37	inter	35709.R	35710.R	11	1	1	49777246	51427850	35709.O	35710.O	7	2	1	1	94913306	94308787	89426177	89467509	50000	1600604	-5
38	intra	35710.R	35711.R	11	1	1	51489057	55130583	35710.O	35711.O	2	2	1	-1	89739263	89503136	89426177	89467509	50000	3591526	-5
