1	1	59012474	59120411	107937	59012767	59120353	107586	1
2	1	67594220	67632083	37863	67610044	67630390	20346	1
3	1	68299150	68564156	265006	68317680	68589911	272231	1
4	1	89738544	89990395	251851	89738136	89751660	13524	1
5	1	93828149	93913658	85509	93835340	93905158	69818	1
6	1	120612274	145413191	24800917	145287974	145411072	123098	1
7	1	145764074	146626685	862611	145945196	146011026	65830	1
8	1	147381393	149858486	2477093	147486907	147721344	234437	1
9	1	158070052	158516918	446866	158325914	158368351	42437	1
10	1	205912588	206223976	311388	205922669	206075776	153107	1
11	1	206332104	206515187	183083	206331336	206482533	151197	1
12	1	207318317	207627575	309258	207534232	207575940	41708	1
13	1	224349749	224415036	65287	224412257	224413798	1541	1
14	1	225840844	225997794	156950	225978137	225996406	18269	1
15	1	227506175	227916240	410065	227644728	227919754	275026	1
16	1	228700004	228870824	170820	228703201	228853441	150240	1
17	1	234745271	235530675	785404	235316732	235329669	12937	1
18	1	240078750	240177648	98898	240084660	240221266	136606	1
19	1	247095499	247460714	365215	247125624	247200621	74997	1
20	1	247615284	247835420	220136	247694909	247811253	116344	1
21	1	247876057	248004230	128173	247901979	248005188	103209	1
22	1	248041507	249104648	1063141	248084319	248845607	761288	1
23	10	5884095	5903689	19594	5865611	5915563	49952	1
24	10	15413097	15555948	142851	15456078	15469950	13872	1
25	10	27149959	27399383	249424	27156931	27352885	195954	1
26	10	27531068	27793197	262129	27531241	27659935	128694	1
27	10	28911862	29746267	834405	28913567	29736874	823307	1
28	10	30663377	31133563	470186	30925796	30927583	1787	1
29	10	32667726	33189247	521521	32687041	32735091	48050	1
30	10	35104249	35297479	193230	35183814	35284102	100288	1
31	10	35501886	35535953	34067	35510296	35620957	110661	1
32	10	35930362	38091751	2161389	37922637	37968973	46336	1
33	10	38265561	43572475	5306914	38266481	43127389	4860908	1
34	10	46168261	46994087	825826	46295238	46309016	13778	1
35	10	50970425	52499078	1528653	51727393	51917604	190211	1
36	10	54531460	55562531	1031071	54540083	55150955	610872	1
37	10	74856732	74870217	13485	74862973	74870165	7192	1
38	10	81205383	81680083	474700	81310520	81314912	4392	1
39	10	81742370	82031576	289206	81709577	82021567	311990	1
40	10	88729238	89264632	535394	88976311	88997197	20886	1
41	10	121215131	121259340	44209	121219508	121225118	5610	1
42	11	3253616	3659733	406117	3254443	3625533	371090	1
43	11	17353070	17406798	53728	17360013	17403486	43473	1
44	11	25100204	26688566	1588362	26154848	26210233	55385	1
45	11	57586651	57791353	204702	57753774	57798435	44661	1
46	11	68708069	68747490	39421	68709706	68728144	18438	1
47	11	71212579	71900602	688023	71212975	71627041	414066	1
48	11	89225392	89867818	642426	89431576	89818842	387266	1
49	11	107436461	107461817	25356	107436621	107452863	16242	1
50	12	372002	389223	17221	375872	382836	6964	1
51	12	2807115	2904119	97004	2852933	2860108	7175	1
52	12	7656286	7801996	145710	7726267	7802060	75793	1
53	12	8693558	8754762	61204	8705805	8730114	24309	1
54	12	9268825	9905082	636257	9303230	9638513	335283	1
55	12	32531141	32654977	123836	32537435	32552605	15170	1
56	12	33049780	33528360	478580	33054762	33117483	62721	1
57	12	54973023	55343865	370842	55077423	55349884	272461	1
58	12	55423798	55725485	301687	55656254	55715405	59151	1
59	12	55846936	56075330	228394	55871504	56039325	167821	1
60	12	104277572	104343981	66409	104341750	104350995	9245	1
61	12	108154914	108523511	368597	108176936	108325358	148422	1
62	12	110477231	110562140	84909	110486427	110488794	2367	1
63	12	121454300	121570678	116378	121522225	121547490	25265	1
64	12	132336316	132379279	42963	132336562	132379168	42606	1
65	13	22278637	23755091	1476454	23370436	23661479	291043	1
66	13	24463558	25254695	791137	24896356	25187816	291460	1
67	13	25497085	25735822	238737	25511899	25599719	87820	1
68	13	26625198	26828276	203078	26649238	26784895	135657	1
69	13	33859892	36343122	2483230	34410572	34480326	69754	1
70	13	41240734	41303432	62698	41254214	41303210	48996	1
71	13	41386596	41506056	119460	41445613	41469942	24329	1
72	13	49783888	49822061	38173	49799046	49821991	22945	1
73	13	50066306	50202435	136129	50160940	50194238	33298	1
74	13	52334135	52506809	172674	52355480	52387043	31563	1
75	13	52733996	52935079	201083	52733967	52739162	5195	1
76	13	53050485	53226844	176359	53050585	53226134	175549	1
77	13	103054124	103249353	195229	103154789	103235164	80375	1
78	13	103528345	103696350	168005	103533915	103560916	27001	1
79	14	20612821	20691869	79048	20611907	20643174	31267	0
80	14	25045466	25278862	233396	25149960	25157315	7355	1
81	14	51724370	52327050	602680	52251157	52272056	20899	1
82	14	52536545	52781113	244568	52621321	52688636	67315	1
83	14	58618931	58666833	47902	58629895	58666613	36718	1
